选股日期,排名,代码,名称,相似度,匹配案例,匹配日期,类别,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-10-09,1,603926,铁流股份,97.8%,case_002,2025-08-06,bowl_center,匹配case_002,9.77,18.5,+89.36%,+188.64%,第924天,2026-03-20,30
2025-10-09,2,002681,奋达科技,95.8%,case_006,2025-08-04,bowl_center,匹配case_006,4.89,5.6,+14.52%,+114.52%,第503天,2026-03-20,30
2025-10-09,3,605136,丽人丽妆,95.8%,case_001,2025-05-12,bowl_center,匹配case_001,11.584,9.79,-15.49%,+46.41%,第672天,2026-03-20,30
2025-10-09,4,000810,创维数字,95.4%,case_002,2025-08-06,bowl_center,匹配case_002,15.252,10.8,-29.19%,+19.20%,第518天,2026-03-20,30
2025-10-09,5,600228,*ST返利,94.9%,case_004,2025-07-23,bowl_center,匹配case_004,9.33,7.99,-14.36%,+5.68%,第12天,2023-08-25,30
2025-10-09,6,001306,夏厦精密,94.2%,case_002,2025-08-06,bowl_center,匹配case_002,109.52,67.28,-38.57%,+16.89%,第4天,2026-03-20,30
2025-10-09,7,002555,三七互娱,94.2%,case_002,2025-08-06,bowl_center,匹配case_002,23.466,22.42,-4.46%,+32.15%,第901天,2026-03-20,30
2025-10-09,8,605319,无锡振华,94.1%,case_009,2025-08-01,bowl_center,匹配case_009,11.136,23.75,+113.27%,+156.44%,第589天,2026-03-20,30
2025-10-09,9,300457,赢合科技,93.8%,case_002,2025-08-06,bowl_center,匹配case_002,26.592,24.29,-8.66%,+48.50%,第795天,2026-03-20,30
2025-10-09,10,603196,日播时尚,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,20.738,26.84,+29.42%,+41.24%,第931天,2026-03-20,30
2025-10-10,1,603926,铁流股份,97.0%,case_002,2025-08-06,bowl_center,匹配case_002,9.77,18.5,+89.36%,+188.64%,第924天,2026-03-20,30
2025-10-10,2,002886,沃特股份,96.3%,case_004,2025-07-23,bowl_center,匹配case_004,17.861,21.44,+20.04%,+48.70%,第945天,2026-03-20,30
2025-10-10,3,603298,杭叉集团,95.1%,case_004,2025-07-23,bowl_center,匹配case_004,16.036,24.18,+50.79%,+96.00%,第944天,2026-03-20,30
2025-10-10,4,605136,丽人丽妆,94.8%,case_001,2025-05-12,bowl_center,匹配case_001,11.584,9.79,-15.49%,+46.41%,第672天,2026-03-20,30
2025-10-10,5,300521,爱司凯,94.4%,case_003,2025-06-20,bowl_center,匹配case_003,13.29,27.78,+109.03%,+197.14%,第914天,2026-03-20,30
2025-10-10,6,603266,天龙股份,94.1%,case_008,2025-07-10,bowl_center,匹配case_008,13.64,18.45,+35.26%,+249.05%,第104天,2026-03-20,30
2025-10-10,7,002164,宁波东力,94.0%,case_004,2025-07-23,bowl_center,匹配case_004,5.87,12.02,+104.77%,+216.52%,第879天,2026-03-20,30
2025-10-10,8,603912,佳力图,93.8%,case_006,2025-08-04,bowl_center,匹配case_006,9.16,10.06,+9.83%,+29.91%,第754天,2026-03-20,30
2025-10-10,9,600228,*ST返利,93.7%,case_004,2025-07-23,bowl_center,匹配case_004,9.33,7.99,-14.36%,+5.68%,第12天,2023-08-25,30
2025-10-10,10,002664,信质集团,93.7%,case_002,2025-08-06,bowl_center,匹配case_002,13.7,19.53,+42.55%,+160.07%,第784天,2026-03-20,30
2025-10-13,1,603683,晶华新材,96.1%,case_002,2025-08-06,bowl_center,匹配case_002,10.955,27.75,+153.31%,+234.19%,第791天,2026-03-20,30
2025-10-13,2,002920,德赛西威,94.5%,case_004,2025-07-23,bowl_center,匹配case_004,154.56,110.8,-28.31%,+7.55%,第11天,2026-03-20,30
2025-10-13,3,688237,超卓航科,93.9%,case_002,2025-08-06,bowl_center,匹配case_002,43.79,48.7,+11.21%,+42.68%,第830天,2026-03-20,30
2025-10-13,4,301029,怡合达,93.9%,case_004,2025-07-23,bowl_center,匹配case_004,37.73,24.49,-35.09%,+5.33%,第6天,2026-03-20,30
2025-10-13,5,603266,天龙股份,93.7%,case_003,2025-06-20,bowl_center,匹配case_003,13.64,18.45,+35.26%,+249.05%,第104天,2026-03-20,30
2025-10-13,6,002624,完美世界,93.6%,case_002,2025-08-06,bowl_center,匹配case_002,13.685,17.83,+30.29%,+73.04%,第929天,2026-03-20,30
2025-10-13,7,603196,日播时尚,93.5%,case_004,2025-07-23,bowl_center,匹配case_004,20.738,26.84,+29.42%,+41.24%,第931天,2026-03-20,30
2025-10-13,8,002558,巨人网络,93.4%,case_002,2025-08-06,bowl_center,匹配case_002,13.332,32.12,+140.92%,+300.17%,第908天,2026-03-20,30
2025-10-13,9,002239,奥特佳,93.3%,case_004,2025-07-23,bowl_center,匹配case_004,2.728,3.02,+10.70%,+57.55%,第118天,2026-03-20,30
2025-10-13,10,300984,金沃股份,93.1%,case_002,2025-08-06,bowl_center,匹配case_002,18.121,54.99,+203.46%,+396.44%,第904天,2026-03-20,30
2025-10-14,1,002011,盾安环境,96.6%,case_003,2025-06-20,bowl_center,匹配case_003,13.48,12.35,-8.38%,+15.36%,第789天,2026-03-20,30
2025-10-14,2,300715,凯伦股份,95.4%,case_004,2025-07-23,bowl_center,匹配case_004,14.785,13.36,-9.64%,+6.43%,第4天,2026-03-20,30
