selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-10-09,603926,铁流股份,1,97.77,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],17.71,16.13,-8.921513269339366,2.879728966685477,1,2025-11-10,30
2025-10-09,002681,奋达科技,2,95.82,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],7.25,6.69,-7.724137931034478,1.1034482758620698,0,2025-11-10,30
2025-10-09,605136,丽人丽妆,3,95.76,case_001,2025-05-12,科创板,['匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位'],9.95,9.9,-0.5025125628140596,3.517587939698507,7,2025-11-10,30
2025-10-09,000810,创维数字,4,95.37,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],13.58,12.75,-6.111929307805597,4.491899852724591,1,2025-11-10,30
2025-10-09,600228,*ST返利,5,94.89,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.56,6.97,25.35971223021583,25.35971223021583,32,2025-11-10,30
2025-10-09,001306,夏厦精密,6,94.18,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],102.72,91.37,-11.04945482866043,4.906542056074772,0,2025-11-10,30
2025-10-09,002555,三七互娱,7,94.18,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],21.381,21.7,1.4919788597352746,12.908657219026228,26,2025-11-10,30
2025-10-09,605319,无锡振华,8,94.11,case_009,2025-08-01,创业板,['匹配case_009: 新瀚新材 - 缩量后放量+价格接近短期趋势线+J值中位'],24.81,21.88,-11.809754131398629,3.1035872632003207,0,2025-11-10,30
2025-10-09,300457,赢合科技,9,93.81,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],34.48,28.7,-16.763341067285378,4.6983758700696185,0,2025-11-10,30
2025-10-09,603196,日播时尚,10,93.8,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],22.1,23.68,7.149321266968317,10.814479638009034,18,2025-11-10,30
2025-10-10,603926,铁流股份,1,97.04,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],17.66,16.13,-8.663646659116655,3.1710079275198115,0,2025-11-10,30
2025-10-10,002886,沃特股份,2,96.26,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],22.79,21.17,-7.1083808688020955,1.7551557700746037,0,2025-11-10,30
2025-10-10,603298,杭叉集团,3,95.13,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],27.63,26.31,-4.77741585233442,10.025334781035106,20,2025-11-10,30
2025-10-10,605136,丽人丽妆,4,94.82,case_001,2025-05-12,科创板,['匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位'],9.98,9.9,-0.8016032064128262,3.206412825651305,6,2025-11-10,30
