selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-10-03,300478,杭州高新,6,94.09,case_004,2025-07-23,bowl_center,['匹配case_004'],24.92,25.85,3.731942215088281,8.90850722311396,28,2025-10-30,30
2025-10-03,003043,华亚智能,7,94.02,case_004,2025-07-23,bowl_center,['匹配case_004'],51.53,49.6,-3.7453910343489225,3.104987385988747,0,2025-10-30,30
2025-10-03,603009,北特科技,8,93.81,case_004,2025-07-23,bowl_center,['匹配case_004'],55.13,48.76,-11.554507527661897,2.9566479230908675,0,2025-10-30,30
2025-10-03,603926,铁流股份,9,93.72,case_004,2025-07-23,bowl_center,['匹配case_004'],17.64,17.36,-1.5873015873015939,3.287981859410421,10,2025-10-30,30
2025-10-03,301606,绿联科技,10,93.67,case_006,2025-08-04,bowl_center,['匹配case_006'],63.98,70.45,10.112535167239772,17.192872772741495,29,2025-10-30,30
2025-10-06,002681,奋达科技,1,94.93,case_006,2025-08-04,bowl_center,['匹配case_006'],7.3,6.63,-9.178082191780822,1.7808219178082179,0,2025-10-30,30
2025-10-06,603201,常润股份,2,94.74,case_004,2025-07-23,bowl_center,['匹配case_004'],18.873,17.083,-9.484448683304205,3.338102050548397,27,2025-10-30,30
2025-10-06,000727,冠捷科技,3,94.61,case_008,2025-07-10,bowl_center,['匹配case_008'],2.76,2.6,-5.797101449275352,2.173913043478263,9,2025-10-30,30
2025-10-06,000810,创维数字,4,94.38,case_002,2025-08-06,bowl_center,['匹配case_002'],13.55,13.26,-2.1402214022140287,4.723247232472316,10,2025-10-30,30
2025-10-06,688356,键凯科技,5,94.28,case_002,2025-08-06,bowl_center,['匹配case_002'],94.45,91.51,-3.1127580730545237,1.0905240868184236,9,2025-10-30,30
2025-10-06,300478,杭州高新,6,94.09,case_004,2025-07-23,bowl_center,['匹配case_004'],24.92,25.85,3.731942215088281,8.90850722311396,28,2025-10-30,30
2025-10-06,003043,华亚智能,7,94.02,case_004,2025-07-23,bowl_center,['匹配case_004'],51.53,49.6,-3.7453910343489225,3.104987385988747,0,2025-10-30,30
2025-10-06,603009,北特科技,8,93.81,case_004,2025-07-23,bowl_center,['匹配case_004'],55.13,48.76,-11.554507527661897,2.9566479230908675,0,2025-10-30,30
2025-10-06,603926,铁流股份,9,93.72,case_004,2025-07-23,bowl_center,['匹配case_004'],17.64,17.36,-1.5873015873015939,3.287981859410421,10,2025-10-30,30
2025-10-06,301606,绿联科技,10,93.67,case_006,2025-08-04,bowl_center,['匹配case_006'],63.98,70.45,10.112535167239772,17.192872772741495,29,2025-10-30,30
2025-10-07,002681,奋达科技,1,94.93,case_006,2025-08-04,bowl_center,['匹配case_006'],7.3,6.63,-9.178082191780822,1.7808219178082179,0,2025-10-30,30
2025-10-07,603201,常润股份,2,94.74,case_004,2025-07-23,bowl_center,['匹配case_004'],18.873,17.083,-9.484448683304205,3.338102050548397,27,2025-10-30,30
2025-10-07,000727,冠捷科技,3,94.61,case_008,2025-07-10,bowl_center,['匹配case_008'],2.76,2.6,-5.797101449275352,2.173913043478263,9,2025-10-30,30
2025-10-07,000810,创维数字,4,94.38,case_002,2025-08-06,bowl_center,['匹配case_002'],13.55,13.26,-2.1402214022140287,4.723247232472316,10,2025-10-30,30
2025-10-07,688356,键凯科技,5,94.28,case_002,2025-08-06,bowl_center,['匹配case_002'],94.45,91.51,-3.1127580730545237,1.0905240868184236,9,2025-10-30,30
2025-10-07,300478,杭州高新,6,94.09,case_004,2025-07-23,bowl_center,['匹配case_004'],24.92,25.85,3.731942215088281,8.90850722311396,28,2025-10-30,30
2025-10-07,003043,华亚智能,7,94.02,case_004,2025-07-23,bowl_center,['匹配case_004'],51.53,49.6,-3.7453910343489225,3.104987385988747,0,2025-10-30,30
2025-10-07,603009,北特科技,8,93.81,case_004,2025-07-23,bowl_center,['匹配case_004'],55.13,48.76,-11.554507527661897,2.9566479230908675,0,2025-10-30,30
2025-10-07,603926,铁流股份,9,93.72,case_004,2025-07-23,bowl_center,['匹配case_004'],17.64,17.36,-1.5873015873015939,3.287981859410421,10,2025-10-30,30
2025-10-07,301606,绿联科技,10,93.67,case_006,2025-08-04,bowl_center,['匹配case_006'],63.98,70.45,10.112535167239772,17.192872772741495,29,2025-10-30,30
